"shapeid","x","y","id","name"
"270","-103.4137728","20.6350072","1199360226","NULL"
"271","-103.409803","20.6751675","1210871808","Camino Real Guadalajara"
"272","-103.4068015","20.6723928","1210871835","PEMEX"
"273","-103.4061642","20.6726941","1210871933","NULL"
"274","-103.4066022","20.6722529","1210871977","NULL"
"275","-103.4061361","20.6726687","1210871988","NULL"
"276","-103.4062881","20.6721691","1210871990","NULL"
"277","-103.4124409","20.676746","1210872090","NULL"
"278","-103.389981","20.6707813","1210872211","NULL"
"279","-103.3931604","20.6719898","1210872323","NULL"
"280","-103.406501","20.6722321","1210872341","NULL"
"281","-103.4049843","20.6746493","1210872796","NULL"
"282","-103.3909974","20.6711485","1210872828","NULL"
"283","-103.3586327","20.672956","1212438815","NULL"
"284","-103.3592568","20.6731539","1212438970","NULL"
"285","-103.3585987","20.67308","1212439228","NULL"
"286","-103.3407186","20.6774895","1218926539","NULL"
"287","-103.3406591","20.6775966","1218926550","NULL"
"288","-103.3403648","20.6776116","1218926625","NULL"
"289","-103.3387541","20.6774379","1219001936","NULL"
"290","-103.3441136","20.6767445","1223706785","NULL"
"291","-103.3548134","20.6763617","1224435523","NULL"
"292","-103.3546255","20.6757016","1224744760","NULL"
"293","-103.3548224","20.6757","1224744820","NULL"
"294","-103.3546408","20.6727249","1337167467","NULL"
"295","-103.3684524","20.6705242","1339101055","NULL"
"296","-103.3564996","20.6631122","1339138243","NULL"
"297","-103.3551434","20.6673958","1339231980","NULL"
"298","-103.3553338","20.6674431","1339231995","NULL"
"299","-103.3733873","20.642595","1340118424","NULL"
"300","-103.3732438","20.642759","1340118465","NULL"
"301","-103.3547405","20.6688991","1340662692","NULL"
"302","-103.3601216","20.6632322","1340670178","NULL"
"303","-103.3506153","20.6604297","1341826525","NULL"
"304","-103.3548767","20.6698667","1341936546","NULL"
"305","-103.3546906","20.6698217","1341936551","NULL"
"306","-103.363813","20.6538686","1344000267","NULL"
"307","-103.3640905","20.6539759","1344000314","NULL"
"308","-103.3634426","20.6547875","1344075013","NULL"
"309","-103.3666297","20.6504382","1344091830","NULL"
"310","-103.3631889","20.6546934","1344864497","NULL"
"311","-103.3886501","20.6666295","1345386218","NULL"
"312","-103.3886454","20.6664526","1345386220","NULL"
"313","-103.385549","20.6665105","1345402493","NULL"
"314","-103.3574675","20.6610133","1347312520","Washington"
